,Time,Voltage
0,0.0,0.9583132
1,0.08266092,0.958328
2,0.1653044,0.9583319
3,0.2479565,0.9583445
4,0.3305864,0.9583488
5,0.4132182,0.9583568
6,0.4958439,0.9583576
7,0.5784887,0.9583659
8,0.66112,0.958366
9,0.743767,0.9583781
10,0.8263909,0.9583836
11,0.9090119,0.9583918
12,0.9916488,0.9583949
13,1.07427,0.9584029
14,1.156911,0.9584056
15,1.239534,0.9584107
16,1.322163,0.9584117
17,1.404807,0.9584271
18,1.487425,0.9584315
19,1.570067,0.9584401
20,1.652714,0.9584453
21,1.735358,0.9584429
22,1.817975,0.9584596
23,1.900612,0.9584603
24,1.98323,0.9584679
25,2.065863,0.9584753
26,2.14848,0.9584808
27,2.231115,0.9584821
28,2.31374,0.9584879
29,2.396355,0.9585022
30,2.478992,0.9584976
31,2.561608,0.9585019
32,2.64425,0.9585122
33,2.726866,0.9585195
34,2.809497,0.958527
35,2.892117,0.9585316
36,2.974751,0.9585289
37,3.057364,0.9585428
38,3.13998,0.9585459
39,3.222617,0.9585512
40,3.305224,0.9585591
41,3.387865,0.9585658
42,3.470474,0.958569
43,3.553104,0.9585806
44,3.635742,0.9585811
45,3.718372,0.9585884
46,3.801004,0.9585903
47,3.883611,0.9586014
48,3.96624,0.9586077
49,4.048875,0.9586062
50,4.131524,0.9586151
51,4.214154,0.9586242
52,4.296796,0.9586234
53,4.379424,0.9586278
54,4.462071,0.9586336
55,4.544698,0.9586387
56,4.627349,0.9586416
57,4.710005,0.9586438
58,4.792631,0.9586511
59,4.875274,0.9586622
60,4.95791,0.9586623
61,5.040537,0.9586635
62,5.123174,0.9586723
63,5.205818,0.9586722
64,5.288438,0.9586851
65,5.371064,0.9586889
66,5.453686,0.9586928
67,5.536309,0.9586929
68,5.618934,0.9586996
69,5.701578,0.9587012
70,5.784201,0.958705
71,5.866836,0.9587182
72,5.949472,0.9587141
73,6.032093,0.9587272
74,6.114734,0.9587278
75,6.197353,0.9587262
76,6.279979,0.9587345
77,6.362612,0.9587419
78,6.445249,0.9587422
79,6.527888,0.9587528
80,6.610508,0.9587541
81,6.693147,0.9587527
82,6.775781,0.95876
83,6.858401,0.9587649
84,6.941025,0.9587667
85,7.023661,0.9587709
86,7.106298,0.9587718
87,7.188934,0.9587781
88,7.271569,0.9587867
89,7.354185,0.9587915
90,7.436819,0.9587984
91,7.519448,0.9587938
92,7.602097,0.9588025
93,7.684734,0.9588061
94,7.767368,0.9588109
95,7.849981,0.9588135
96,7.932616,0.9588215
97,8.01525,0.9588273
98,8.09788,0.9588256
99,8.180515,0.9588343
100,8.263133,0.958842
101,8.345745,0.9588488
102,8.428357,0.9588509
103,8.510987,0.9588593
104,8.593594,0.9588619
105,8.676236,0.9588764
106,8.758862,0.9588774
107,8.841485,0.9588821
108,8.924122,0.9588928
109,9.006729,0.9588957
110,9.089357,0.9589012
111,9.172005,0.9589023
112,9.254656,0.9589058
113,9.337292,0.9589124
114,9.41994,0.9589206
115,9.502589,0.9589254
116,9.585227,0.9589245
117,9.667876,0.9589349
118,9.750516,0.9589428
119,9.833152,0.9589441
120,9.915779,0.9589539
121,9.998424,0.9589614
122,10.08105,0.9589637
123,10.16369,0.9589707
124,10.24633,0.9589736
125,10.32897,0.9589768
126,10.41162,0.9589805
127,10.49424,0.9589853
128,10.57689,0.9589928
129,10.65953,0.958998
130,10.74217,0.9590048
131,10.82479,0.9590084
132,10.90743,0.959013
133,10.99005,0.9590194
134,11.07269,0.9590232
135,11.15534,0.9590287
136,11.23798,0.9590322
137,11.3206,0.9590404
138,11.40322,0.9590427
139,11.48586,0.9590437
140,11.56848,0.9590497
141,11.65111,0.9590558
142,11.73374,0.9590616
143,11.81638,0.9590617
144,11.89901,0.9590724
145,11.98165,0.9590781
146,12.06426,0.9590809
147,12.1469,0.9590848
148,12.22954,0.9590866
149,12.31215,0.9590874
150,12.39479,0.9590973
151,12.47741,0.9590983
152,12.56005,0.9591047
153,12.64268,0.9591115
154,12.72532,0.9591121
155,12.80793,0.9591155
156,12.89055,0.9591195
157,12.97317,0.9591242
158,13.05578,0.9591327
